LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:102223	http://biodiversity.org.au/apni.publication/102223	Jacquin, N.J. von, Collectanea. 1786-1796.		1786-1796	Jacquin, N.J. von, Collectanea. 1786-1796.			Collectanea	
urn:lsid:biodiversity.org.au:apni.publication:102290	http://biodiversity.org.au/apni.publication/102290	Herbertia 11. (1946).		(1946)	Herbertia 11. (1946).				
urn:lsid:biodiversity.org.au:apni.publication:102300	http://biodiversity.org.au/apni.publication/102300	Annales Musei Goulandris. (1978).		(1978)	Annales Musei Goulandris. (1978).				
urn:lsid:biodiversity.org.au:apni.publication:102301	http://biodiversity.org.au/apni.publication/102301	Gemeinn~ytziges Hanbuch der Gew~uchskunde ed. 2, 1. (Dec. 1827).		(Dec. 1827)	Gemeinn~ytziges Hanbuch der Gew~uchskunde ed. 2, 1. (Dec. 1827).				
urn:lsid:biodiversity.org.au:apni.publication:102305	http://biodiversity.org.au/apni.publication/102305	George, A.S., Flora of Australia. 1987.		1987	George, A.S., Flora of Australia. 1987.				AGPS
urn:lsid:biodiversity.org.au:apni.publication:102392	http://biodiversity.org.au/apni.publication/102392	Cirillo, D.M.L., Plantarum Rariorum regni Neapolitani. 1788-1792.		1788-1792	Cirillo, D.M.L., Plantarum Rariorum regni Neapolitani. 1788-1792.				
urn:lsid:biodiversity.org.au:apni.publication:102403	http://biodiversity.org.au/apni.publication/102403	Bulletin de la Societe Philomatique. Paris. (Oct. 1793).		(Oct. 1793)	Bulletin de la Societe Philomatique. Paris. (Oct. 1793).				
urn:lsid:biodiversity.org.au:apni.publication:102411	http://biodiversity.org.au/apni.publication/102411	Revis. Allium in Africa. (1977).		(1977)	Revis. Allium in Africa. (1977).				
urn:lsid:biodiversity.org.au:apni.publication:102476	http://biodiversity.org.au/apni.publication/102476	Watsonia. 1949/50-.		1949/50-	Watsonia. 1949/50-.				Botanical Society of the British Isles
urn:lsid:biodiversity.org.au:apni.publication:102499	http://biodiversity.org.au/apni.publication/102499	Stirpae Novae aut Minus Cognitae. (Mar. 1788).		(Mar. 1788)	Stirpae Novae aut Minus Cognitae. (Mar. 1788).				
urn:lsid:biodiversity.org.au:apni.publication:102651	http://biodiversity.org.au/apni.publication/102651	New South Wales Magazine. Aug. 1833.		Aug. 1833	New South Wales Magazine. Aug. 1833.				
urn:lsid:biodiversity.org.au:apni.publication:102697	http://biodiversity.org.au/apni.publication/102697	Erythea 3. (1 Apr. 1895).		(1 Apr. 1895)	Erythea 3. (1 Apr. 1895).				
urn:lsid:biodiversity.org.au:apni.publication:102736	http://biodiversity.org.au/apni.publication/102736	Flore Generale de L'Indo-Chine. Jan. 1923.		Jan. 1923	Flore Generale de L'Indo-Chine. Jan. 1923.				
urn:lsid:biodiversity.org.au:apni.publication:102983	http://biodiversity.org.au/apni.publication/102983	George, A.S., Flora of Australia. 1989.		1989	George, A.S., Flora of Australia. 1989.				AGPS
urn:lsid:biodiversity.org.au:apni.publication:103027	http://biodiversity.org.au/apni.publication/103027	Flora Delphinalis. 1785.		1785	Flora Delphinalis. 1785.				
urn:lsid:biodiversity.org.au:apni.publication:103074	http://biodiversity.org.au/apni.publication/103074	Gleditsch, J.G., Systema Plantarum. 1764.		1764	Gleditsch, J.G., Systema Plantarum. 1764.				Haude et Spener
urn:lsid:biodiversity.org.au:apni.publication:103088	http://biodiversity.org.au/apni.publication/103088	Rumphius 3. (1847).		(1847)	Rumphius 3. (1847).				
urn:lsid:biodiversity.org.au:apni.publication:103174	http://biodiversity.org.au/apni.publication/103174	Webbia; raccolta di scritti botanici. 1905+.		1905+	Webbia; raccolta di scritti botanici. 1905+.			Webbia	
urn:lsid:biodiversity.org.au:apni.publication:103179	http://biodiversity.org.au/apni.publication/103179	Ruiz Lopez, H. & Pavon, J.A., Flora Peruvianae, et Chilensis. 1798-1802.		1798-1802	Ruiz Lopez, H. & Pavon, J.A., Flora Peruvianae, et Chilensis. 1798-1802.				
urn:lsid:biodiversity.org.au:apni.publication:107083	http://biodiversity.org.au/apni.publication/107083	Nova Acta Regiae Societatis Scientiarum Upsaliensis ser. 2, 6. (1799).		(1799)	Nova Acta Regiae Societatis Scientiarum Upsaliensis ser. 2, 6. (1799).				
urn:lsid:biodiversity.org.au:apni.publication:107183	http://biodiversity.org.au/apni.publication/107183	Forster, P.I., Hoya in Australia. 1986.		1986	Forster, P.I., Hoya in Australia. 1986.				Queensland Succulent Society
urn:lsid:biodiversity.org.au:apni.publication:107199	http://biodiversity.org.au/apni.publication/107199	Indian Sci. Congr. Assoc. Proc.. (1981).		(1981)	Indian Sci. Congr. Assoc. Proc.. (1981).				
urn:lsid:biodiversity.org.au:apni.publication:107221	http://biodiversity.org.au/apni.publication/107221	Plantarum Icones hactenus ineditae 2. (1<NR>24 May 1790).		(1<NR>24 May 1790)	Plantarum Icones hactenus ineditae 2. (1<NR>24 May 1790).				
urn:lsid:biodiversity.org.au:apni.publication:107232	http://biodiversity.org.au/apni.publication/107232	Transactions of the Horticultural Society. (1828).		(1828)	Transactions of the Horticultural Society. (1828).				
urn:lsid:biodiversity.org.au:apni.publication:103219	http://biodiversity.org.au/apni.publication/103219	Notes Pt Pridologiques 5. (Dec. 1917).		(Dec. 1917)	Notes Pt Pridologiques 5. (Dec. 1917).				
urn:lsid:biodiversity.org.au:apni.publication:103237	http://biodiversity.org.au/apni.publication/103237	Notes Pt~Pridologiques 5. (Dec. 1917).		(Dec. 1917)	Notes Pt~Pridologiques 5. (Dec. 1917).				
urn:lsid:biodiversity.org.au:apni.publication:103279	http://biodiversity.org.au/apni.publication/103279	Franchet, A.R., Plantae Delavayanae. 1889-1890.		1889-1890	Franchet, A.R., Plantae Delavayanae. 1889-1890.				
urn:lsid:biodiversity.org.au:apni.publication:103538	http://biodiversity.org.au/apni.publication/103538	Die Kulturpflanze 18. (1970).		(1970)	Die Kulturpflanze 18. (1970).				
urn:lsid:biodiversity.org.au:apni.publication:103545	http://biodiversity.org.au/apni.publication/103545	Zinn, J.G., Catalogus Plantarum Horti....Gottingae. (1757).		(1757)	Zinn, J.G., Catalogus Plantarum Horti....Gottingae. (1757).			Cat. pl.hort.Gott	
urn:lsid:biodiversity.org.au:apni.publication:103701	http://biodiversity.org.au/apni.publication/103701	Records of the Albany Museum 2. (1907).		(1907)	Records of the Albany Museum 2. (1907).				
urn:lsid:biodiversity.org.au:apni.publication:103750	http://biodiversity.org.au/apni.publication/103750	Sobolewski, G.F., Flora Petropolitana. 1799.		1799	Sobolewski, G.F., Flora Petropolitana. 1799.				
urn:lsid:biodiversity.org.au:apni.publication:103823	http://biodiversity.org.au/apni.publication/103823	Catalogus quae in Horto Botanico Bogoriensi. (1866).		(1866)	Catalogus quae in Horto Botanico Bogoriensi. (1866).				
urn:lsid:biodiversity.org.au:apni.publication:103849	http://biodiversity.org.au/apni.publication/103849	Moore, C. & Betche, E., Handbook of the Flora of New South Wales. 1893.		1893	Moore, C. & Betche, E., Handbook of the Flora of New South Wales. 1893.			Handb. fl. N.S.W.	
urn:lsid:biodiversity.org.au:apni.publication:103853	http://biodiversity.org.au/apni.publication/103853	Nova Genera, quae super Nonnullis Fici Speciebus. (1844).		(1844)	Nova Genera, quae super Nonnullis Fici Speciebus. (1844).				
urn:lsid:biodiversity.org.au:apni.publication:109730	http://biodiversity.org.au/apni.publication/109730	Meyer, E.H.F. & Drege, J.F., Commentariorum de Plantis Africae Australioris. 1836, 1838.		1836, 1838	Meyer, E.H.F. & Drege, J.F., Commentariorum de Plantis Africae Australioris. 1836, 1838.				
