Name,Description,MoreInformation,URI
cccma-cgcm31,Coupled Global Climate Model (CGCM3),Canadian Centre for Climate Modelling and Analysis (CCCma),http://www.ipcc-data.org/ar4/model-CCCMA-CGCM3_1-T47-change.html
ccsr-miroc32hi,MIROC3.2 (hires),"CCSR/NIES/FRCGC, Japan CCSR = Center for Climate System Research, University of Tokyo NIES = National Institute for Environmental Studies FRCGC = Frontier Research Center for Global Chance, Japan Agency for Marine-Earth Science and Technology (JAMSTEC) (The University ofTokyo is a National University Corporation and NIES and JAMSTEC are Independent Administrative Institutions)",http://www-pcmdi.llnl.gov/ipcc/model_documentation/MIROC3.2_hires.pdf
ccsr-miroc32med,MIROC3.2 (medres),"CCSR/NIES/FRCGC, Japan CCSR = Center for Climate System Research, University of Tokyo NIES = National Institute for Environmental Studies FRCGC = Frontier Research Center for Global Chance, Japan Agency for Marine-Earth Science and Technology (JAMSTEC) (The University ofTokyo is a National University Corporation and NIES and JAMSTEC are Independent Administrative Institutions)",http://www-pcmdi.llnl.gov/ipcc/model_documentation/MIROC3.2_hires.pdf
cnrm-cm3,CNRM-CM3,"Centre National de Recherches Meteorologiques, Meteo France, France",http://www.ipcc-data.org/ar4/model-CNRM-CM3-change.html
csiro-mk30,CSIRO Mark 3.0,The CSIRO Mk3.5 Climate Model The Centre for Australian Weather and Climate Research,http://www.ipcc-data.org/ar4/model-CSIRO-MK3-change.html
gfdl-cm20,CM2.0 - AOGCM,"Geophysical Fluid Dynamics Laboratory,NOAA",http://www.ipcc-data.org/ar4/model-GFDL-CM2-change.html
gfdl-cm21,CM2.1 - AOGCM,"Geophysical Fluid Dynamics Laboratory,NOAA",http://www.ipcc-data.org/ar4/model-GFDL-CM2_1-change.html
giss-modeleh,GISS ModelE-H and GISS ModelE-R (which differ only in ocean component),"Goddard Institute for Space Studies (GISS), NASA, USA",http://www.ipcc-data.org/ar4/model-NASA-GISS-EH-change.html
giss-modeler,GISS ModelE-H and GISS ModelE-R (which differ only in ocean component),"Goddard Institute for Space Studies (GISS), NASA, USA",http://www.ipcc-data.org/ar4/model-NASA-GISS-ER-change.html
iap-fgoals10g,FGOALS1.0_g,"LASG, Institute of Atmospheric Physics, Chinese Academy of Sciemces, P.O. Box 9804, Beijing 100029, P.R. China",http://www.ipcc-data.org/ar4/model-LASG-FGOALS-G1_0-change.html
inm-cm30,INMCM3.0,"Institute of Numerical Mathematics, Russian Academy of Science, Russia.",http://www.ipcc-data.org/ar4/model-INM-CM3-change.html
ipsl-cm4,IPSL-CM4,"Institut Pierre Simon Laplace (IPSL), France",http://www.ipcc-data.org/ar4/model-IPSL-CM4-change.html
mpi-echam5,ECHAM5/MPI-OM,"Max Planck Institute for Meteorology, Germany",http://www.ipcc-data.org/ar4/model-MPIM-ECHAM5-change.html
mri-cgcm232a,MRI-CGCM2.3.2,"Meteorological Research Institute, Japan Meteorological Agency, Japan",http://www.ipcc-data.org/ar4/model-MRI-CGCM2_3_2-change.html
ncar-ccsm30,"Community Climate System Model, version 3.0 (CCSM3)","National Center for Atmospheric Research (NCAR),",http://www.ipcc-data.org/ar4/model-NCAR-CCSM3-change.html
ncar-pcm1,Parallel Climate Model (PCM),"National Center for Atmospheric Research (NCAR), NSF (a primary sponsor), DOE (a primary sponsor), NASA, and NOAA",http://www.ipcc-data.org/ar4/model-NCAR-PCM-change.html
ukmo-hadcm3,HadCM3,"Hadley Centre for Climate Prediction and Research, Met Office, United Kingdom",http://www.ipcc-data.org/ar4/model-UKMO-HADCM3-change.html
ukmo-hadgem1,"Hadley Centre Global Environmental Model, version 1 (HadGEM1)","Hadley Centre for Climate Prediction and Research, Met Office United Kingdom",http://www.ipcc-data.org/ar4/model-UKMO-HADGEM1-change.html
ALL,Median of All Climate Models,,
