species,class
Acritoscincus_duperreyi,reptiles
Acritoscincus_platynota,reptiles
Acritoscincus_trilineata,reptiles
Acrochordus_arafurae,reptiles
Amphibolurus_norrisi,reptiles
Anepischetosia_maccoyi,reptiles
Anomalopus_brevicollis,reptiles
Anomalopus_gowi,reptiles
Anomalopus_mackayi,reptiles
Antaresia_perthensis,reptiles
Antaresia_stimsoni,reptiles
Antechinus_adustus,mammals
Antechinus_bellus,mammals
Antechinus_minimus,mammals
Antechinus_subtropicus,mammals
Antechinus_swainsonii,mammals
Aprasia_parapulchella,reptiles
Aprasia_striolata,reptiles
Aspidites_ramsayi,reptiles
Assa_darlingtoni,amphibians
Austrelaps_labialis,reptiles
Austrochaperina_adelphe,amphibians
Austrochaperina_fryi,amphibians
Austrochaperina_pluvialis,amphibians
Bellatorias_frerei,reptiles
Bellatorias_major,reptiles
Bellatorias_obiri,reptiles
Boiga_irregularis,reptiles
Bos_javanicus,mammals
Brachyurophis_australis,reptiles
Brachyurophis_incinctus,reptiles
Brachyurophis_morrisi,reptiles
Brachyurophis_semifasciatus,reptiles
Burramys_parvus,mammals
Calyptotis_lepidorostrum,reptiles
Calyptotis_ruficauda,reptiles
Calyptotis_scutirostrum,reptiles
Calyptotis_temporalis,reptiles
Canis_lupus,mammals
Carlia_gracilis,reptiles
Carlia_jarnoldae,reptiles
Carlia_munda,reptiles
Carlia_mundivensis,reptiles
Carlia_rimula,reptiles
Carlia_rostralis,reptiles
Carlia_sexdentata,reptiles
Carlia_vivax,reptiles
Carphodactylus_laevis,reptiles
Cercartetus_lepidus,mammals
Cercartetus_nanus,mammals
Chalinolobus_gouldii,mammals
Chalinolobus_morio,mammals
Chalinolobus_nigrogriseus,mammals
Chelosania_brunnea,reptiles
Christinus_alexanderi,reptiles
Coeranoscincus_frontalis,reptiles
Coeranoscincus_reticulatus,reptiles
Conilurus_penicillatus,mammals
Cophixalus_aenigma,amphibians
Cophixalus_concinnus,amphibians
Cophixalus_crepitans,amphibians
Cophixalus_exiguus,amphibians
Cophixalus_hosmeri,amphibians
Cophixalus_infacetus,amphibians
Cophixalus_mcdonaldi,amphibians
Cophixalus_monticola,amphibians
Cophixalus_neglectus,amphibians
Cophixalus_saxatilis,amphibians
Cophixalus_zweifeli,amphibians
Crenadactylus_ocellatus,reptiles
Crinia_nimbus,amphibians
Crinia_parinsignifera,amphibians
Crinia_pseudinsignifera,amphibians
Crinia_remota,amphibians
Crinia_riparia,amphibians
Crinia_sloanei,amphibians
Crinia_subinsignifera,amphibians
Crinia_tasmaniensis,amphibians
Cryptoblepharus_ruber,reptiles
Cryptoblepharus_zoticus,reptiles
Cryptophis_nigrescens,reptiles
Ctenophorus_clayi,reptiles
Ctenophorus_cristatus,reptiles
Ctenophorus_gibba,reptiles
Ctenophorus_isolepis,reptiles
Ctenophorus_maculosus,reptiles
Ctenophorus_salinarum,reptiles
Ctenophorus_tjantjalka,reptiles
Ctenophorus_vadnappa,reptiles
Ctenotus_allotropis,reptiles
Ctenotus_ariadnae,reptiles
Ctenotus_arnhemensis,reptiles
Ctenotus_astarte,reptiles
Ctenotus_astictus,reptiles
Ctenotus_atlas,reptiles
Ctenotus_borealis,reptiles
Ctenotus_calurus,reptiles
Ctenotus_catenifer,reptiles
Ctenotus_coggeri,reptiles
Ctenotus_decaneurus,reptiles
Ctenotus_dux,reptiles
Ctenotus_euclae,reptiles
Ctenotus_gagudju,reptiles
Ctenotus_greeri,reptiles
Ctenotus_hanloni,reptiles
Ctenotus_hebetior,reptiles
Ctenotus_helenae,reptiles
Ctenotus_hilli,reptiles
Ctenotus_inornatus,reptiles
Ctenotus_joanae,reptiles
Ctenotus_kurnbudj,reptiles
Ctenotus_leae,reptiles
Ctenotus_leonhardii,reptiles
Ctenotus_militaris,reptiles
Ctenotus_mimetes,reptiles
Ctenotus_nasutus,reptiles
Ctenotus_olympicus,reptiles
Ctenotus_pallescens,reptiles
Ctenotus_pantherinus,reptiles
Ctenotus_piankai,reptiles
Ctenotus_pulchellus,reptiles
Ctenotus_quattuordecimlineatus,reptiles
Ctenotus_quirinus,reptiles
Ctenotus_septenarius,reptiles
Ctenotus_severus,reptiles
Ctenotus_storri,reptiles
Ctenotus_striaticeps,reptiles
Ctenotus_stuarti,reptiles
Ctenotus_tanamiensis,reptiles
Ctenotus_vertebralis,reptiles
Cyclorana_alboguttata,amphibians
Cyclorana_brevipes,amphibians
Cyclorana_cryptotis,amphibians
Cyclorana_longipes,amphibians
Cyclorana_maini,amphibians
Cyclorana_verrucosa,amphibians
Delma_borea,reptiles
Delma_butleri,reptiles
Delma_haroldi,reptiles
Delma_impar,reptiles
Delma_nasuta,reptiles
Delma_plebeia,reptiles
Delma_tincta,reptiles
Delma_torquata,reptiles
Demansia_atra,reptiles
Demansia_vestigiata,reptiles
Denisonia_devisi,reptiles
Denisonia_maculata,reptiles
Diplodactylus_calcicolus,reptiles
Diplodactylus_galeatus,reptiles
Diplodactylus_pulcher,reptiles
Diplodactylus_tessellatus,reptiles
Diplodactylus_wiru,reptiles
Diporiphora_albilabris,reptiles
Diporiphora_linga,reptiles
Diporiphora_pindan,reptiles
Diporiphora_reginae,reptiles
Egernia_major,reptiles
Egernia_modesta,reptiles
Egernia_napoleonis,reptiles
Emoia_longicauda,reptiles
Eptesicus_regulus,mammals
Eptesicus_vulturnus,mammals
Eremiascincus_richardsonii,reptiles
Eulamprus_brachysoma,reptiles
Eulamprus_kosciuskoi,reptiles
Eulamprus_leuraensis,reptiles
Eulamprus_murrayi,reptiles
Eulamprus_tryoni,reptiles
Eulamprus_tympanum,reptiles
Gehyra_catenata,reptiles
Gehyra_koira,reptiles
Gehyra_lazelli,reptiles
Gehyra_montium,reptiles
Gehyra_pilbara,reptiles
Geocrinia_laevis,amphibians
Geocrinia_leai,amphibians
Glaphyromorphus_cracens,reptiles
Glaphyromorphus_darwiniensis,reptiles
Glaphyromorphus_douglasi,reptiles
Glaphyromorphus_fuscicaudis,reptiles
Glaphyromorphus_isolepis,reptiles
Glaphyromorphus_mjobergi,reptiles
Glaphyromorphus_pumilus,reptiles
Gymnobelideus_leadbeateri,mammals
Heleioporus_albopunctatus,amphibians
Heleioporus_barycragus,amphibians
Heleioporus_inornatus,amphibians
Heleioporus_psammophilus,amphibians
Hemiergis_gracilipes,reptiles
Hemiergis_initialis,reptiles
Hemiergis_millewae,reptiles
Hemiergis_quadrilineata,reptiles
Heteronotia_binoei,reptiles
Hipposideros_ater,mammals
Hipposideros_semoni,mammals
Hipposideros_stenotis,mammals
Hoplocephalus_bitorquatus,reptiles
Hydromys_chrysogaster,mammals
Hypsilurus_boydii,reptiles
Hypsilurus_spinipes,reptiles
Hypsiprymnodon_moschatus,mammals
Kerivoula_papuensis,mammals
Lagorchestes_conspicillatus,mammals
Lampropholis_adonis,reptiles
Lampropholis_caligula,reptiles
Lampropholis_coggeri,reptiles
Lampropholis_elongata,reptiles
Lepidodactylus_lugubris,reptiles
Lerista_allanae,reptiles
Lerista_allochira,reptiles
Lerista_ameles,reptiles
Lerista_amicorum,reptiles
Lerista_apoda,reptiles
Lerista_arenicola,reptiles
Lerista_axillaris,reptiles
